gene_id,sample_id,mutation_type
Gene_0108,Patient_054,frameshift
Gene_0109,Patient_096,frameshift
Gene_0109,Patient_099,frameshift
Gene_0109,Patient_055,nonsense
Gene_0109,Patient_041,frameshift
Gene_0109,Patient_076,missense
Gene_0109,Patient_104,missense
Gene_0109,Patient_141,nonsense
Gene_0109,Patient_061,nonsense
Gene_0109,Patient_138,nonsense
Gene_0109,Patient_130,nonsense
Gene_0110,Patient_002,missense
Gene_0110,Patient_133,nonsense
Gene_0110,Patient_181,nonsense
Gene_0110,Patient_143,nonsense
Gene_0110,Patient_033,nonsense
Gene_0110,Patient_062,missense
Gene_0110,Patient_096,missense
Gene_0110,Patient_180,nonsense
Gene_0110,Patient_083,frameshift
Gene_0110,Patient_092,nonsense
Gene_0111,Patient_156,nonsense
Gene_0111,Patient_151,missense
Gene_0111,Patient_166,nonsense
Gene_0111,Patient_128,nonsense
Gene_0111,Patient_059,nonsense
Gene_0111,Patient_004,frameshift
Gene_0111,Patient_130,nonsense
Gene_0111,Patient_087,frameshift
Gene_0111,Patient_173,frameshift
Gene_0111,Patient_038,missense
Gene_0112,Patient_152,nonsense
Gene_0112,Patient_081,frameshift
Gene_0112,Patient_015,nonsense
Gene_0112,Patient_186,nonsense
Gene_0112,Patient_175,missense
Gene_0112,Patient_113,missense
Gene_0112,Patient_183,missense
Gene_0112,Patient_090,frameshift
Gene_0112,Patient_085,nonsense
Gene_0112,Patient_101,nonsense
Gene_0113,Patient_154,frameshift
Gene_0113,Patient_045,nonsense
Gene_0113,Patient_067,frameshift
Gene_0113,Patient_044,frameshift
Gene_0113,Patient_051,nonsense
Gene_0113,Patient_041,nonsense
Gene_0113,Patient_059,missense
Gene_0113,Patient_047,missense
Gene_0113,Patient_022,missense
Gene_0113,Patient_112,frameshift
Gene_0114,Patient_130,nonsense
Gene_0114,Patient_176,nonsense
Gene_0114,Patient_146,missense
Gene_0114,Patient_015,nonsense
Gene_0114,Patient_163,nonsense
Gene_0114,Patient_046,frameshift
Gene_0114,Patient_196,nonsense
Gene_0114,Patient_062,missense
Gene_0114,Patient_087,frameshift
Gene_0114,Patient_089,missense
Gene_0115,Patient_095,missense
Gene_0115,Patient_089,nonsense
Gene_0115,Patient_117,frameshift
Gene_0115,Patient_017,nonsense
Gene_0115,Patient_148,frameshift
Gene_0115,Patient_171,frameshift
Gene_0115,Patient_082,nonsense
Gene_0115,Patient_071,frameshift
Gene_0115,Patient_034,frameshift
Gene_0115,Patient_186,missense
Gene_0116,Patient_080,frameshift
Gene_0116,Patient_012,missense
Gene_0116,Patient_109,missense
Gene_0116,Patient_116,frameshift
Gene_0116,Patient_195,missense
Gene_0116,Patient_035,frameshift
Gene_0116,Patient_191,missense
Gene_0116,Patient_101,missense
Gene_0116,Patient_034,nonsense
Gene_0116,Patient_091,missense
Gene_0117,Patient_199,nonsense
Gene_0117,Patient_000,nonsense
Gene_0117,Patient_191,frameshift
Gene_0117,Patient_180,frameshift
Gene_0117,Patient_172,frameshift
Gene_0117,Patient_126,nonsense
Gene_0117,Patient_062,frameshift
Gene_0117,Patient_102,missense
Gene_0117,Patient_157,nonsense
Gene_0117,Patient_092,frameshift
Gene_0117,Patient_009,missense
Gene_0117,Patient_070,missense
Gene_0117,Patient_176,nonsense
Gene_0117,Patient_035,nonsense
Gene_0117,Patient_041,missense
Gene_0117,Patient_087,missense
Gene_0117,Patient_151,nonsense
Gene_0117,Patient_169,frameshift
Gene_0117,Patient_116,nonsense
Gene_0117,Patient_187,nonsense
Gene_0117,Patient_074,nonsense
Gene_0117,Patient_050,nonsense
Gene_0117,Patient_143,nonsense
Gene_0117,Patient_063,nonsense
Gene_0117,Patient_171,nonsense
Gene_0117,Patient_014,missense
Gene_0117,Patient_016,missense
Gene_0117,Patient_182,missense
Gene_0117,Patient_145,nonsense
Gene_0117,Patient_004,nonsense
Gene_0117,Patient_054,frameshift
Gene_0117,Patient_190,frameshift
Gene_0117,Patient_111,frameshift
Gene_0117,Patient_032,missense
Gene_0117,Patient_055,nonsense
Gene_0117,Patient_119,frameshift
Gene_0117,Patient_095,nonsense
Gene_0117,Patient_123,nonsense
Gene_0117,Patient_118,nonsense
Gene_0117,Patient_131,nonsense
Gene_0118,Patient_062,frameshift
Gene_0118,Patient_073,nonsense
Gene_0118,Patient_184,nonsense
Gene_0118,Patient_136,nonsense
Gene_0118,Patient_056,missense
Gene_0118,Patient_170,missense
Gene_0118,Patient_169,missense
Gene_0118,Patient_037,missense
Gene_0118,Patient_182,nonsense
Gene_0118,Patient_168,missense
Gene_0119,Patient_039,frameshift
Gene_0119,Patient_151,frameshift
Gene_0119,Patient_134,frameshift
Gene_0119,Patient_099,frameshift
Gene_0119,Patient_109,missense
Gene_0119,Patient_093,nonsense
Gene_0119,Patient_126,nonsense
Gene_0119,Patient_147,missense
Gene_0119,Patient_154,missense
Gene_0119,Patient_009,nonsense
Gene_0120,Patient_112,frameshift
Gene_0120,Patient_122,frameshift
Gene_0120,Patient_031,frameshift
Gene_0120,Patient_181,nonsense
Gene_0120,Patient_100,frameshift
Gene_0120,Patient_196,missense
Gene_0120,Patient_038,missense
Gene_0120,Patient_071,nonsense
Gene_0120,Patient_160,frameshift
Gene_0120,Patient_171,missense
Gene_0121,Patient_060,nonsense
Gene_0121,Patient_195,missense
Gene_0121,Patient_073,frameshift
Gene_0121,Patient_011,missense
Gene_0121,Patient_084,missense
Gene_0121,Patient_199,nonsense
Gene_0121,Patient_094,missense
Gene_0121,Patient_076,nonsense
Gene_0121,Patient_160,frameshift
Gene_0121,Patient_119,frameshift
Gene_0122,Patient_154,nonsense
Gene_0122,Patient_039,frameshift
Gene_0122,Patient_165,missense
Gene_0122,Patient_013,frameshift
Gene_0122,Patient_133,missense
Gene_0122,Patient_168,frameshift
Gene_0122,Patient_144,nonsense
Gene_0122,Patient_183,nonsense
Gene_0122,Patient_157,missense
Gene_0122,Patient_043,frameshift
Gene_0123,Patient_198,missense
Gene_0123,Patient_157,nonsense
Gene_0123,Patient_196,nonsense
Gene_0123,Patient_030,frameshift
Gene_0123,Patient_131,missense
Gene_0123,Patient_091,missense
Gene_0123,Patient_033,frameshift
Gene_0123,Patient_161,frameshift
Gene_0123,Patient_031,nonsense
Gene_0123,Patient_100,frameshift
Gene_0124,Patient_134,missense
Gene_0124,Patient_059,frameshift
Gene_0124,Patient_161,nonsense
Gene_0124,Patient_192,nonsense
Gene_0124,Patient_075,missense
Gene_0124,Patient_082,frameshift
Gene_0124,Patient_093,nonsense
Gene_0124,Patient_188,frameshift
Gene_0124,Patient_042,frameshift
Gene_0124,Patient_155,missense
Gene_0125,Patient_147,frameshift
Gene_0125,Patient_132,nonsense
Gene_0125,Patient_025,frameshift
Gene_0125,Patient_040,nonsense
Gene_0125,Patient_152,nonsense
Gene_0125,Patient_086,frameshift
Gene_0125,Patient_097,nonsense
Gene_0125,Patient_171,frameshift
Gene_0125,Patient_115,frameshift
Gene_0125,Patient_197,frameshift
Gene_0126,Patient_194,missense
Gene_0126,Patient_094,nonsense
Gene_0126,Patient_076,nonsense
Gene_0126,Patient_042,missense
Gene_0126,Patient_101,missense
Gene_0126,Patient_133,nonsense
Gene_0126,Patient_138,missense
Gene_0126,Patient_131,nonsense
Gene_0126,Patient_129,frameshift
Gene_0126,Patient_064,nonsense
Gene_0127,Patient_183,frameshift
Gene_0127,Patient_188,nonsense
Gene_0127,Patient_010,nonsense
Gene_0127,Patient_014,nonsense
Gene_0127,Patient_006,frameshift
Gene_0127,Patient_030,missense
Gene_0127,Patient_166,nonsense
Gene_0127,Patient_173,frameshift
Gene_0127,Patient_172,frameshift
Gene_0127,Patient_005,nonsense
Gene_0128,Patient_045,nonsense
Gene_0128,Patient_043,nonsense
Gene_0128,Patient_143,missense
Gene_0128,Patient_093,frameshift
Gene_0128,Patient_160,frameshift
Gene_0128,Patient_189,frameshift
Gene_0128,Patient_110,nonsense
Gene_0128,Patient_042,frameshift
Gene_0128,Patient_088,nonsense
Gene_0128,Patient_192,frameshift
Gene_0129,Patient_002,nonsense
Gene_0129,Patient_008,missense
Gene_0129,Patient_053,nonsense
Gene_0129,Patient_035,nonsense
Gene_0129,Patient_069,missense
Gene_0129,Patient_047,nonsense
Gene_0129,Patient_157,nonsense
Gene_0129,Patient_093,nonsense
Gene_0129,Patient_125,nonsense
Gene_0129,Patient_037,frameshift
Gene_0130,Patient_028,frameshift
Gene_0130,Patient_117,missense
Gene_0130,Patient_165,frameshift
Gene_0130,Patient_162,nonsense
Gene_0130,Patient_108,nonsense
Gene_0130,Patient_194,frameshift
Gene_0130,Patient_104,frameshift
Gene_0130,Patient_021,frameshift
Gene_0130,Patient_072,missense
Gene_0130,Patient_035,missense
Gene_0131,Patient_079,frameshift
Gene_0131,Patient_049,missense
Gene_0131,Patient_094,missense
Gene_0131,Patient_100,missense
Gene_0131,Patient_046,frameshift
Gene_0131,Patient_153,nonsense
Gene_0131,Patient_174,missense
Gene_0131,Patient_003,nonsense
Gene_0131,Patient_082,frameshift
Gene_0131,Patient_011,missense
Gene_0131,Patient_196,frameshift
Gene_0131,Patient_007,missense
Gene_0131,Patient_087,frameshift
Gene_0131,Patient_050,nonsense
Gene_0131,Patient_023,frameshift
Gene_0131,Patient_064,frameshift
Gene_0131,Patient_092,frameshift
Gene_0131,Patient_000,nonsense
Gene_0131,Patient_160,frameshift
Gene_0131,Patient_005,frameshift
Gene_0131,Patient_193,nonsense
Gene_0131,Patient_077,frameshift
Gene_0131,Patient_081,nonsense
Gene_0131,Patient_186,frameshift
Gene_0131,Patient_165,nonsense
Gene_0131,Patient_195,nonsense
Gene_0131,Patient_107,nonsense
Gene_0131,Patient_157,missense
Gene_0131,Patient_018,missense
Gene_0131,Patient_134,missense
Gene_0131,Patient_141,missense
Gene_0131,Patient_074,nonsense
Gene_0131,Patient_119,nonsense
Gene_0131,Patient_089,missense
Gene_0131,Patient_129,frameshift
Gene_0131,Patient_189,nonsense
Gene_0131,Patient_035,missense
Gene_0131,Patient_185,missense
Gene_0131,Patient_173,nonsense
Gene_0131,Patient_045,nonsense
Gene_0132,Patient_035,frameshift
Gene_0132,Patient_195,nonsense
Gene_0132,Patient_150,frameshift
Gene_0132,Patient_181,missense
Gene_0132,Patient_068,missense
Gene_0132,Patient_109,frameshift
Gene_0132,Patient_151,nonsense
Gene_0132,Patient_190,nonsense
Gene_0132,Patient_111,nonsense
Gene_0132,Patient_061,nonsense
Gene_0133,Patient_060,frameshift
Gene_0133,Patient_050,nonsense
Gene_0133,Patient_080,frameshift
Gene_0133,Patient_100,nonsense
Gene_0133,Patient_168,nonsense
Gene_0133,Patient_122,frameshift
Gene_0133,Patient_142,frameshift
Gene_0133,Patient_002,nonsense
Gene_0133,Patient_022,missense
Gene_0133,Patient_025,frameshift
Gene_0134,Patient_130,frameshift
Gene_0134,Patient_150,frameshift
Gene_0134,Patient_003,nonsense
Gene_0134,Patient_076,missense
Gene_0134,Patient_181,missense
Gene_0134,Patient_023,frameshift
Gene_0134,Patient_194,missense
Gene_0134,Patient_105,missense
Gene_0134,Patient_086,missense
Gene_0134,Patient_163,frameshift
Gene_0135,Patient_109,nonsense
Gene_0135,Patient_045,frameshift
Gene_0135,Patient_007,missense
Gene_0135,Patient_126,frameshift
Gene_0135,Patient_074,nonsense
Gene_0135,Patient_115,nonsense
Gene_0135,Patient_077,missense
Gene_0135,Patient_040,missense
Gene_0135,Patient_058,missense
Gene_0135,Patient_062,frameshift
Gene_0136,Patient_152,missense
Gene_0136,Patient_052,missense
Gene_0136,Patient_119,nonsense
Gene_0136,Patient_140,missense
Gene_0136,Patient_164,nonsense
Gene_0136,Patient_171,nonsense
Gene_0136,Patient_071,frameshift
Gene_0136,Patient_049,frameshift
Gene_0136,Patient_143,frameshift
Gene_0136,Patient_081,missense
Gene_0137,Patient_108,frameshift
Gene_0137,Patient_090,nonsense
Gene_0137,Patient_076,missense
Gene_0137,Patient_184,frameshift
Gene_0137,Patient_138,missense
Gene_0137,Patient_162,missense
Gene_0137,Patient_155,missense
Gene_0137,Patient_183,missense
Gene_0137,Patient_176,missense
Gene_0137,Patient_087,frameshift
Gene_0138,Patient_054,missense
Gene_0138,Patient_170,missense
Gene_0138,Patient_063,frameshift
Gene_0138,Patient_062,missense
Gene_0138,Patient_194,missense
Gene_0138,Patient_103,nonsense
Gene_0138,Patient_108,missense
Gene_0138,Patient_059,missense
Gene_0138,Patient_060,nonsense
Gene_0138,Patient_036,frameshift
Gene_0138,Patient_073,missense
Gene_0138,Patient_066,nonsense
Gene_0138,Patient_080,missense
Gene_0138,Patient_143,frameshift
Gene_0138,Patient_022,nonsense
Gene_0138,Patient_171,missense
Gene_0138,Patient_051,nonsense
Gene_0138,Patient_196,missense
Gene_0138,Patient_007,frameshift
Gene_0138,Patient_152,nonsense
Gene_0138,Patient_061,frameshift
Gene_0138,Patient_189,frameshift
Gene_0138,Patient_167,missense
Gene_0138,Patient_028,frameshift
Gene_0138,Patient_168,nonsense
Gene_0138,Patient_104,nonsense
Gene_0138,Patient_134,nonsense
Gene_0138,Patient_094,frameshift
Gene_0138,Patient_145,nonsense
Gene_0138,Patient_158,nonsense
Gene_0138,Patient_160,nonsense
Gene_0138,Patient_137,missense
Gene_0138,Patient_120,nonsense
Gene_0138,Patient_003,frameshift
Gene_0138,Patient_182,missense
Gene_0138,Patient_123,frameshift
Gene_0138,Patient_147,missense
Gene_0138,Patient_056,frameshift
Gene_0138,Patient_172,nonsense
Gene_0138,Patient_162,nonsense
Gene_0139,Patient_050,frameshift
Gene_0139,Patient_198,missense
Gene_0139,Patient_064,missense
Gene_0139,Patient_030,frameshift
Gene_0139,Patient_152,missense
Gene_0139,Patient_193,missense
Gene_0139,Patient_163,missense
Gene_0139,Patient_078,nonsense
Gene_0139,Patient_042,frameshift
Gene_0139,Patient_143,frameshift
Gene_0140,Patient_090,missense
Gene_0140,Patient_004,frameshift
Gene_0140,Patient_162,nonsense
Gene_0140,Patient_058,missense
Gene_0140,Patient_134,missense
Gene_0140,Patient_002,frameshift
Gene_0140,Patient_117,missense
Gene_0140,Patient_043,nonsense
Gene_0140,Patient_074,nonsense
Gene_0140,Patient_121,frameshift
Gene_0140,Patient_065,frameshift
Gene_0140,Patient_123,missense
Gene_0140,Patient_125,missense
Gene_0140,Patient_047,missense
Gene_0140,Patient_148,nonsense
Gene_0140,Patient_051,frameshift
Gene_0140,Patient_089,missense
Gene_0140,Patient_093,nonsense
Gene_0140,Patient_081,frameshift
Gene_0140,Patient_169,frameshift
Gene_0140,Patient_054,missense
Gene_0140,Patient_046,frameshift
Gene_0140,Patient_140,missense
Gene_0140,Patient_091,missense
Gene_0140,Patient_186,nonsense
Gene_0140,Patient_154,frameshift
Gene_0140,Patient_075,frameshift
Gene_0140,Patient_069,frameshift
Gene_0140,Patient_096,nonsense
Gene_0140,Patient_084,missense
Gene_0140,Patient_017,frameshift
Gene_0140,Patient_057,missense
Gene_0140,Patient_053,nonsense
Gene_0140,Patient_177,frameshift
Gene_0140,Patient_087,frameshift
Gene_0140,Patient_113,missense
Gene_0140,Patient_188,nonsense
Gene_0140,Patient_153,nonsense
Gene_0140,Patient_120,nonsense
Gene_0140,Patient_106,nonsense
Gene_0141,Patient_162,missense
Gene_0141,Patient_075,missense
Gene_0141,Patient_105,missense
Gene_0141,Patient_108,missense
Gene_0141,Patient_027,missense
Gene_0141,Patient_198,frameshift
Gene_0141,Patient_194,frameshift
Gene_0141,Patient_071,nonsense
Gene_0141,Patient_061,missense
Gene_0141,Patient_028,missense
Gene_0142,Patient_088,nonsense
Gene_0142,Patient_055,nonsense
Gene_0142,Patient_007,missense
Gene_0142,Patient_039,nonsense
Gene_0142,Patient_029,missense
Gene_0142,Patient_012,missense
Gene_0142,Patient_149,nonsense
Gene_0142,Patient_176,frameshift
Gene_0142,Patient_170,missense
Gene_0142,Patient_054,nonsense
Gene_0143,Patient_125,frameshift
Gene_0143,Patient_046,missense
Gene_0143,Patient_090,missense
Gene_0143,Patient_156,missense
Gene_0143,Patient_096,frameshift
Gene_0143,Patient_119,frameshift
Gene_0143,Patient_182,nonsense
Gene_0143,Patient_073,nonsense
Gene_0143,Patient_028,nonsense
Gene_0143,Patient_030,missense
Gene_0144,Patient_128,nonsense
Gene_0144,Patient_172,missense
Gene_0144,Patient_170,frameshift
Gene_0144,Patient_104,nonsense
Gene_0144,Patient_185,nonsense
Gene_0144,Patient_158,nonsense
Gene_0144,Patient_003,nonsense
Gene_0144,Patient_096,frameshift
Gene_0144,Patient_073,missense
Gene_0144,Patient_116,nonsense
Gene_0145,Patient_079,missense
Gene_0145,Patient_107,missense
Gene_0145,Patient_134,missense
Gene_0145,Patient_190,nonsense
Gene_0145,Patient_018,nonsense
Gene_0145,Patient_024,nonsense
Gene_0145,Patient_010,missense
Gene_0145,Patient_109,missense
Gene_0145,Patient_099,missense
Gene_0145,Patient_181,frameshift
Gene_0146,Patient_067,frameshift
Gene_0146,Patient_138,missense
Gene_0146,Patient_194,nonsense
Gene_0146,Patient_139,missense
Gene_0146,Patient_179,frameshift
Gene_0146,Patient_190,missense
Gene_0146,Patient_052,frameshift
Gene_0146,Patient_040,missense
Gene_0146,Patient_199,frameshift
Gene_0146,Patient_116,frameshift
Gene_0147,Patient_130,missense
Gene_0147,Patient_180,nonsense
Gene_0147,Patient_004,frameshift
Gene_0147,Patient_048,missense
Gene_0147,Patient_168,missense
Gene_0147,Patient_063,missense
Gene_0147,Patient_000,missense
Gene_0147,Patient_157,nonsense
Gene_0147,Patient_090,nonsense
Gene_0147,Patient_026,frameshift
Gene_0148,Patient_130,missense
Gene_0148,Patient_057,frameshift
Gene_0148,Patient_196,frameshift
Gene_0148,Patient_185,nonsense
Gene_0148,Patient_025,frameshift
Gene_0148,Patient_129,nonsense
Gene_0148,Patient_079,missense
Gene_0148,Patient_046,frameshift
Gene_0148,Patient_181,frameshift
Gene_0148,Patient_005,frameshift
Gene_0149,Patient_047,nonsense
Gene_0149,Patient_185,missense
Gene_0149,Patient_191,nonsense
Gene_0149,Patient_067,nonsense
Gene_0149,Patient_007,nonsense
Gene_0149,Patient_144,missense
Gene_0149,Patient_171,missense
Gene_0149,Patient_093,missense
Gene_0149,Patient_098,frameshift
Gene_0149,Patient_091,nonsense
Gene_0150,Patient_071,nonsense
Gene_0150,Patient_134,nonsense
Gene_0150,Patient_035,nonsense
Gene_0150,Patient_073,nonsense
Gene_0150,Patient_179,missense
Gene_0150,Patient_080,frameshift
Gene_0150,Patient_189,missense
Gene_0150,Patient_077,missense
Gene_0150,Patient_112,missense
Gene_0150,Patient_092,missense
Gene_0151,Patient_003,nonsense
Gene_0151,Patient_021,missense
Gene_0151,Patient_143,frameshift
Gene_0151,Patient_159,missense
Gene_0151,Patient_121,frameshift
Gene_0151,Patient_116,missense
Gene_0151,Patient_076,missense
Gene_0151,Patient_138,missense
Gene_0151,Patient_071,frameshift
Gene_0151,Patient_173,frameshift
Gene_0152,Patient_026,nonsense
Gene_0152,Patient_042,nonsense
Gene_0152,Patient_060,frameshift
Gene_0152,Patient_192,nonsense
Gene_0152,Patient_176,nonsense
Gene_0152,Patient_124,nonsense
Gene_0152,Patient_109,frameshift
Gene_0152,Patient_104,nonsense
Gene_0152,Patient_166,frameshift
Gene_0152,Patient_158,missense
Gene_0153,Patient_176,frameshift
Gene_0153,Patient_054,nonsense
Gene_0153,Patient_161,missense
Gene_0153,Patient_073,missense
Gene_0153,Patient_141,missense
Gene_0153,Patient_137,missense
Gene_0153,Patient_169,nonsense
Gene_0153,Patient_178,nonsense
Gene_0153,Patient_029,missense
Gene_0153,Patient_159,missense
Gene_0154,Patient_025,missense
Gene_0154,Patient_013,nonsense
Gene_0154,Patient_121,missense
Gene_0154,Patient_156,frameshift
Gene_0154,Patient_185,frameshift
Gene_0154,Patient_030,missense
Gene_0154,Patient_053,nonsense
Gene_0154,Patient_191,nonsense
Gene_0154,Patient_082,frameshift
Gene_0154,Patient_078,nonsense
Gene_0155,Patient_062,nonsense
Gene_0155,Patient_192,nonsense
Gene_0155,Patient_019,nonsense
Gene_0155,Patient_046,frameshift
Gene_0155,Patient_042,nonsense
Gene_0155,Patient_160,nonsense
Gene_0155,Patient_165,nonsense
Gene_0155,Patient_079,missense
Gene_0155,Patient_002,nonsense
Gene_0155,Patient_068,missense
Gene_0156,Patient_103,nonsense
Gene_0156,Patient_003,nonsense
Gene_0156,Patient_168,nonsense
Gene_0156,Patient_090,missense
Gene_0156,Patient_030,missense
Gene_0156,Patient_121,missense
Gene_0156,Patient_029,missense
Gene_0156,Patient_016,missense
Gene_0156,Patient_158,frameshift
Gene_0156,Patient_049,frameshift
Gene_0157,Patient_192,frameshift
Gene_0157,Patient_091,missense
Gene_0157,Patient_031,nonsense
Gene_0157,Patient_199,nonsense
Gene_0157,Patient_149,frameshift
Gene_0157,Patient_040,frameshift
Gene_0157,Patient_088,nonsense
Gene_0157,Patient_125,nonsense
Gene_0157,Patient_119,nonsense
Gene_0157,Patient_140,frameshift
Gene_0158,Patient_036,nonsense
Gene_0158,Patient_070,frameshift
Gene_0158,Patient_097,missense
Gene_0158,Patient_013,nonsense
Gene_0158,Patient_078,missense
Gene_0158,Patient_065,missense
Gene_0158,Patient_163,frameshift
Gene_0158,Patient_042,nonsense
Gene_0158,Patient_170,frameshift
Gene_0158,Patient_145,missense
Gene_0159,Patient_128,missense
Gene_0159,Patient_072,nonsense
Gene_0159,Patient_057,nonsense
Gene_0159,Patient_051,frameshift
Gene_0159,Patient_187,nonsense
Gene_0159,Patient_179,nonsense
Gene_0159,Patient_188,nonsense
Gene_0159,Patient_062,nonsense
Gene_0159,Patient_186,frameshift
Gene_0159,Patient_090,missense
Gene_0160,Patient_028,frameshift
Gene_0160,Patient_153,frameshift
Gene_0160,Patient_134,nonsense
Gene_0160,Patient_154,frameshift
Gene_0160,Patient_106,frameshift
Gene_0160,Patient_188,frameshift
Gene_0160,Patient_033,missense
Gene_0160,Patient_116,nonsense
Gene_0160,Patient_069,nonsense
Gene_0160,Patient_004,nonsense
Gene_0161,Patient_182,frameshift
Gene_0161,Patient_155,missense
Gene_0161,Patient_025,nonsense
Gene_0161,Patient_006,nonsense
Gene_0161,Patient_089,nonsense
Gene_0161,Patient_030,nonsense
Gene_0161,Patient_101,missense
Gene_0161,Patient_064,nonsense
Gene_0161,Patient_010,missense
Gene_0161,Patient_060,missense
Gene_0161,Patient_193,missense
Gene_0161,Patient_024,frameshift
Gene_0161,Patient_114,frameshift
Gene_0161,Patient_049,nonsense
Gene_0161,Patient_163,frameshift
Gene_0161,Patient_172,frameshift
Gene_0161,Patient_183,nonsense
Gene_0161,Patient_099,frameshift
Gene_0161,Patient_169,nonsense
Gene_0161,Patient_192,frameshift
Gene_0161,Patient_125,frameshift
Gene_0161,Patient_067,nonsense
Gene_0161,Patient_105,frameshift
Gene_0161,Patient_066,missense
Gene_0161,Patient_198,missense
Gene_0161,Patient_175,frameshift
Gene_0161,Patient_012,missense
Gene_0161,Patient_086,nonsense
Gene_0161,Patient_021,frameshift
Gene_0161,Patient_166,missense
Gene_0161,Patient_018,nonsense
Gene_0161,Patient_073,nonsense
Gene_0161,Patient_050,frameshift
Gene_0161,Patient_081,missense
Gene_0161,Patient_178,frameshift
Gene_0161,Patient_106,missense
Gene_0161,Patient_074,frameshift
Gene_0161,Patient_009,nonsense
Gene_0161,Patient_187,frameshift
Gene_0161,Patient_000,nonsense
Gene_0162,Patient_124,missense
Gene_0162,Patient_166,frameshift
Gene_0162,Patient_034,nonsense
Gene_0162,Patient_133,frameshift
Gene_0162,Patient_135,missense
Gene_0162,Patient_056,frameshift
Gene_0162,Patient_062,frameshift
Gene_0162,Patient_093,nonsense
Gene_0162,Patient_142,missense
Gene_0162,Patient_035,nonsense
Gene_0163,Patient_017,frameshift
Gene_0163,Patient_027,frameshift
Gene_0163,Patient_138,frameshift
Gene_0163,Patient_181,missense
Gene_0163,Patient_036,nonsense
Gene_0163,Patient_142,missense
Gene_0163,Patient_072,frameshift
Gene_0163,Patient_059,frameshift
Gene_0163,Patient_169,nonsense
Gene_0163,Patient_054,frameshift
Gene_0164,Patient_150,missense
Gene_0164,Patient_015,frameshift
Gene_0164,Patient_139,missense
Gene_0164,Patient_124,nonsense
Gene_0164,Patient_192,frameshift
Gene_0164,Patient_194,frameshift
Gene_0164,Patient_103,nonsense
Gene_0164,Patient_060,frameshift
Gene_0164,Patient_133,missense
Gene_0164,Patient_182,frameshift
Gene_0164,Patient_172,nonsense
Gene_0164,Patient_184,nonsense
Gene_0164,Patient_191,nonsense
Gene_0164,Patient_135,missense
Gene_0164,Patient_063,missense
Gene_0164,Patient_000,missense
Gene_0164,Patient_183,frameshift
Gene_0164,Patient_190,frameshift
Gene_0164,Patient_023,missense
Gene_0164,Patient_020,missense
Gene_0164,Patient_149,missense
Gene_0164,Patient_092,nonsense
Gene_0164,Patient_031,frameshift
Gene_0164,Patient_040,nonsense
Gene_0164,Patient_166,frameshift
Gene_0164,Patient_189,missense
Gene_0164,Patient_128,frameshift
Gene_0164,Patient_131,nonsense
Gene_0164,Patient_152,nonsense
Gene_0164,Patient_134,missense
Gene_0164,Patient_036,frameshift
Gene_0164,Patient_147,missense
Gene_0164,Patient_126,missense
Gene_0164,Patient_086,nonsense
Gene_0164,Patient_185,nonsense
Gene_0164,Patient_014,frameshift
Gene_0164,Patient_115,frameshift
Gene_0164,Patient_119,nonsense
Gene_0164,Patient_168,missense
Gene_0164,Patient_067,frameshift
Gene_0165,Patient_096,nonsense
Gene_0165,Patient_003,frameshift
Gene_0165,Patient_114,nonsense
Gene_0165,Patient_062,nonsense
Gene_0165,Patient_048,missense
Gene_0165,Patient_012,frameshift
Gene_0165,Patient_196,nonsense
Gene_0165,Patient_024,frameshift
Gene_0165,Patient_179,nonsense
Gene_0165,Patient_029,nonsense
Gene_0166,Patient_116,frameshift
Gene_0166,Patient_012,missense
Gene_0166,Patient_078,missense
Gene_0166,Patient_082,frameshift
Gene_0166,Patient_017,frameshift
Gene_0166,Patient_029,nonsense
Gene_0166,Patient_170,frameshift
Gene_0166,Patient_043,frameshift
Gene_0166,Patient_065,missense
Gene_0166,Patient_160,missense
Gene_0167,Patient_053,missense
Gene_0167,Patient_036,nonsense
Gene_0167,Patient_124,frameshift
Gene_0167,Patient_184,frameshift
Gene_0167,Patient_004,missense
Gene_0167,Patient_001,nonsense
Gene_0167,Patient_091,nonsense
Gene_0167,Patient_012,missense
Gene_0167,Patient_140,frameshift
Gene_0167,Patient_107,missense
Gene_0168,Patient_062,missense
Gene_0168,Patient_098,missense
Gene_0168,Patient_022,missense
Gene_0168,Patient_073,frameshift
Gene_0168,Patient_021,missense
Gene_0168,Patient_018,frameshift
Gene_0168,Patient_131,missense
Gene_0168,Patient_079,nonsense
Gene_0168,Patient_052,frameshift
Gene_0168,Patient_139,nonsense
Gene_0169,Patient_039,nonsense
Gene_0169,Patient_141,missense
Gene_0169,Patient_123,frameshift
Gene_0169,Patient_074,nonsense
Gene_0169,Patient_014,nonsense
Gene_0169,Patient_041,frameshift
Gene_0169,Patient_172,nonsense
Gene_0169,Patient_118,missense
Gene_0169,Patient_082,nonsense
Gene_0169,Patient_175,missense
Gene_0170,Patient_005,frameshift
Gene_0170,Patient_058,nonsense
Gene_0170,Patient_028,nonsense
Gene_0170,Patient_190,frameshift
Gene_0170,Patient_090,nonsense
Gene_0170,Patient_084,missense
Gene_0170,Patient_121,missense
Gene_0170,Patient_048,nonsense
Gene_0170,Patient_063,frameshift
Gene_0170,Patient_064,frameshift
Gene_0171,Patient_029,missense
Gene_0171,Patient_158,nonsense
Gene_0171,Patient_095,frameshift
Gene_0171,Patient_140,nonsense
